date,ethnic wear,streetwear India,summer fashion 2025,boho style,minimalist outfit,kurta set trending,coquette aesthetic,cargo pants outfit,linen shirt women,oversized blazer outfit,old money style,capsule wardrobe,quiet luxury fashion,y2k fashion,airport outfit women,festive saree trends,indo western dress,maxi dress outfit,denim on denim,wedding guest outfit India,travel outfit women,monsoon fashion,gen z fashion trends,office wear women
2026-03-18,73,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,31,0,8,0,0,0,0,42
2026-03-19,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,8,0,0,0,0,67
2026-03-20,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,8,0,0,0,0,50
2026-03-21,73,2,0,2,0,9,3,5,28,0,5,3,0,2,1,0,31,1,9,0,2,0,0,67
2026-03-22,64,3,0,2,0,11,0,5,36,0,5,4,0,2,2,0,37,1,8,0,2,0,0,69
2026-03-23,49,3,0,2,0,8,0,6,25,0,3,3,0,3,1,0,29,1,7,0,2,0,0,53
2026-03-24,52,2,0,2,0,8,0,3,27,0,3,2,0,2,1,0,26,0,7,0,2,0,0,56
2026-03-25,50,3,1,1,0,8,0,2,29,0,5,2,0,2,1,0,26,0,7,0,2,0,0,58
2026-03-26,53,2,1,2,1,8,3,4,29,0,4,2,0,3,1,0,28,1,8,0,1,0,0,58
2026-03-27,49,2,0,2,0,7,0,4,26,0,4,3,0,3,1,0,27,0,7,0,2,0,0,61
2026-03-28,52,2,0,2,0,8,0,4,28,0,4,3,0,2,0,0,31,0,7,0,2,0,0,64
2026-03-29,60,3,0,2,0,9,2,7,36,0,5,3,0,3,1,0,38,1,8,0,0,0,0,69
2026-03-30,49,2,0,2,0,6,0,5,27,0,3,2,0,2,1,0,28,0,7,0,0,0,0,59
2026-03-31,53,2,0,2,1,7,0,3,28,0,4,3,0,3,0,0,31,0,8,0,0,0,0,62
2026-04-01,53,2,0,2,0,6,3,4,28,0,4,3,0,2,0,0,29,0,8,0,0,0,0,59
2026-04-02,53,2,0,2,0,6,4,0,30,0,3,1,0,3,0,0,26,1,8,0,0,0,0,55
2026-04-03,61,2,0,2,0,9,0,3,36,0,5,3,0,3,1,0,34,0,8,0,0,0,0,63
2026-04-04,57,2,0,2,1,9,0,3,29,0,5,2,0,2,1,0,32,1,7,0,0,0,0,52
